Cat,Name,Smiles,score_active,pred_active
S1052,Elesclomol (STA-4783),CN(NC(=O)CC(=O)NN(C)C(=S)C1=CC=CC=C1)C(=S)C2=CC=CC=C2,0.4349781768021592,0
S1204,Melatonin (NSC 113928),COC1=CC2=C([NH]C=C2CCNC(C)=O)C=C1,0.385140060526493,0
S1282,Artemisinin,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,0.3287206537404153,0
S1290,Celastrol (NSC 70931),CC1=C(O)C(=O)C=C2C1=CC=C3C2(C)CCC4(C)C5CC(C)(CCC5(C)CCC34C)C(O)=O,0.42579745070324654,0
S1319,Costunolide,CC/1=C\CC\C(=C\C2OC(=O)C(=C)C2CC1)C,0.3145373171812938,0
S1326,Edaravone,CC1=NN(C(=O)C1)C2=CC=CC=C2,0.45787685533126615,0
S1342,Genistein (NPI 031L),OC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O)O)C2=O,0.22919506861284894,0
S1344,Glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)[S](=O)(=O)NC(=O)NC3CCC(C)CC3)C1=O,0.6639330517767705,1
S1354,Lansoprazole,CC1=C(OCC(F)(F)F)C=CN=C1C[S](=O)C2=NC3=CC=CC=C3[NH]2,0.485588942919658,0
S1396,Resveratrol (SRT501),OC1=CC=C(C=C1)\C=C\C2=CC(=CC(=C2)O)O,0.47792768244969125,0
S1398,Stavudine (d4T),CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O,0.4025743242939673,0
S1445,Zonisamide,N[S](=O)(=O)CC1=NOC2=CC=CC=C12,0.5806835321332114,0
S1467,Doxercalciferol,CC(C)C(C)/C=C/C(C)C1CCC2C(/CCCC12C)=C/C=C/3CC(O)CC(O)C3=C,0.46967244137212183,0
S1547,Febuxostat,CC(C)COC1=C(C=C(C=C1)C2=NC(=C(S2)C(O)=O)C)C#N,0.23052772197902022,0
S1576,Sulfasalazine (NSC 667219),OC(=O)C1=C(O)C=CC(=C1)N=NC2=CC=C(C=C2)[S](=O)(=O)NC3=CC=CC=N3,0.5365891289854369,0
S1630,Allopurinol,O=C1N=CN=C2NNC=C12,0.5885500418229116,0
S1631,Allopurinol Sodium,[Na+].O=C1NC=NC2=C1C=N[NH]2,0.6195343269900923,1
S1677,Chloramphenicol,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O,0.415796114804775,0
S1696,Hydrocortisone (NSC 10483),CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C23,0.43428765231829053,0
S1748,Nisoldipine,COC(=O)C1=C(C)NC(=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OCC(C)C)C,0.32481554056806267,0
S1773,Oxytetracycline (Terramycin),CN(C)C1C2C(O)C3C(=C(O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(=C1O)C(N)=O,0.4258017522690255,0
S1802,AICAR (Acadesine),NC(=O)C1=C(N)[N](C=N1)C2OC(CO)C(O)C2O,0.37315344474347045,0
S1830,Oxfendazole,COC(=O)NC1=NC2=C([NH]1)C=C(C=C2)[S](=O)C3=CC=CC=C3,0.4518903006237246,0
S1848,Curcumin,COC1=CC(=CC=C1O)/C=C/C(O)=C/C(=O)/C=C/C2=CC(=C(O)C=C2)OC,0.6650212599368194,1
S1849,Daidzein,OC1=CC=C(C=C1)C2=COC3=CC(=CC=C3C2=O)O,0.15344439845337765,0
S1897,Potassium Iodide,[K+].[I-],0.30136271096960465,0
S1905,Amlodipine,CCOC(=O)C1=C(COCCN)NC(=C(C1C2=C(Cl)C=CC=C2)C(=O)OC)C,0.41568072517593446,0
S1907,Metronidazole,CC1=NC=C([N]1CCO)[N+]([O-])=O,0.42025690734144955,0
S1909,Fluvastatin (XU-62-320) Sodium,[Na+].CC(C)[N]1C2=C(C=CC=C2)C(=C1\C=C\C(O)CC(O)CC([O-])=O)C3=CC=C(F)C=C3,0.3510727622815162,0
S1952,Methoxsalen,COC1=C2OC=CC2=CC3=C1OC(=O)C=C3,0.20807848258964182,0
S1988,Propylthiouracil,CCCC1=CC(=O)NC(=S)N1,0.36071674457495556,0
S1990,Capsaicin(Vanilloid),COC1=C(O)C=CC(=C1)CNC(=O)CCCC\C=C\C(C)C,0.429223935055924,0
S2011,Pramipexole 2HCl Monohydrate,O.Cl.Cl.CCCNC1CCC2=C(C1)SC(=N2)N,0.3031708222331518,0
S2062,Tiopronin,CC(S)C(=O)NCC(O)=O,0.2956691898586007,0
S2077,Atorvastatin Calcium,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CCC(O)CC(O)CC([O-])=O)C3=CC=C(F)C=C3)C4=CC=CC=C4.CC(C)C5=C(C(=O)NC6=CC=CC=C6)C(=C([N]5CCC(O)CC(O)CC([O-])=O)C7=CC=C(F)C=C7)C8=CC=CC=C8,0.32905459426039957,0
S2131,Roflumilast (B9302-107),FC(F)OC1=CC=C(C=C1OCC2CC2)C(=O)NC3=C(Cl)C=NC=C3Cl,0.39618001042953227,0
S2250,(-)-Epigallocatechin Gallate,OC1=CC2=C(CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(O2)C4=CC(=C(O)C(=C4)O)O)C(=C1)O,0.44922914674894593,0
S2252,(+)-Usniacin,CC(=O)C1=C(O)C(=C(O)C2=C1OC3=CC(=O)C(=C(O)C23C)C(C)=O)C,0.4076634075912658,0
S2261,Andrographolide,CC1(CO)C(O)CCC2(C)C(C\C=C\3C(O)COC3=O)C(=C)CCC12,0.39900076864440803,0
S2262,Apigenin (LY 080400),OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O,0.3354131355026692,0
S2266,Asiatic Acid,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(O)=O,0.46187209962469783,0
S2268,Baicalein,OC1=C(O)C(=C2C(=O)C=C(OC2=C1)C3=CC=CC=C3)O,0.23805823474035703,0
S2269,Baicalin (NSC-661431),OC1C(O)C(OC(C1O)C(O)=O)OC2=C(O)C(=C3C(=O)C=C(OC3=C2)C4=CC=CC=C4)O,0.30291998502945705,0
S2270,Bergenin,COC1=C(O)C2=C(C=C1O)C(=O)OC3C(O)C(O)C(CO)OC23,0.4054680819694082,0
S2277,Caffeic Acid,OC(=O)/C=C/C1=CC=C(O)C(=C1)O,0.6451133837233455,1
S2280,Chlorogenic Acid,OC1CC(O)(CC(OC(=O)\C=C\C2=CC(=C(O)C=C2)O)C1O)C(O)=O,0.61183944225025,1
S2281,Chrysin,OC1=CC2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3,0.2529428383884132,0
S2289,Daidzin,OCC1OC(OC2=CC3=C(C=C2)C(=O)C(=CO3)C4=CC=C(O)C=C4)C(O)C(O)C1O,0.3124220814378676,0
S2293,DL-Carnitine HCl,[Cl-].C[N+](C)(C)CC(O)CC(O)=O,0.33104941442689434,0
S2298,Fisetin,OC1=CC2=C(C=C1)C(=O)C(=C(O2)C3=CC(=C(O)C=C3)O)O,0.5866272663975148,0
S2299,Formononetin,COC1=CC=C(C=C1)C2=COC3=C(C=CC(=C3)O)C2=O,0.13519381356695334,0
S2300,Ferulic Acid,COC1=CC(=CC=C1O)\C=C\C(O)=O,0.6463438407983747,1
S2301,Genistin (Genistoside),OCC1OC(OC2=CC3=C(C(=C2)O)C(=O)C(=CO3)C4=CC=C(O)C=C4)C(O)C(O)C1O,0.35952563116692615,0
S2302,Glycyrrhizin (NSC 167409),CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O,0.4563679123371291,0
S2303,Gossypol Acetate,CC(C)C1=C2C=C(C)C(=C(O)C2=C(C=O)C(=C1O)O)C3=C(O)C4=C(C=C3C)C(=C(O)C(=C4C=O)O)C(C)C.CC(O)=O,0.38211699034174795,0
S2308,Hesperetin,COC1=CC=C(C=C1O)C2CC(=O)C3=C(O)C=C(O)C=C3O2,0.41040437653249223,0
S2309,Hesperidin,COC1=CC=C(C=C1O)C2CC(=O)C3=C(O)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O2,0.4304671782365165,0
S2310,Honokiol (NSC 293100),OC1=C(CC=C)C=C(C=C1)C2=CC(=CC=C2O)CC=C,0.41456781699975026,0
S2312,Icariin,COC1=CC=C(C=C1)C2=C(OC3OC(C)C(O)C(O)C3O)C(=O)C4=C(O2)C(=C(OC5OC(CO)C(O)C(O)C5O)C=C4O)CC=C(C)C,0.40418359603186615,0
S2313,Indole-3-carbinol,OCC1=C[NH]C2=C1C=CC=C2,0.3975945666064163,0
S2314,Kaempferol (NSC 407289),OC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2,0.5261761317059647,0
S2318,Lappaconitine,CCN1CC2(CCC(OC)C34C2CC(C13)C5(O)CC(OC)C6CC4C5(O)C6OC)OC(=O)C7=CC=CC=C7NC(C)=O,0.41440072878564044,0
S2320,Luteolin,OC1=CC(=C2C(=O)C=C(OC2=C1)C3=CC=C(O)C(=C3)O)O,0.6105867989863681,1
S2321,Magnolol,OC1=C(C=C(CC=C)C=C1)C2=CC(=CC=C2O)CC=C,0.4186447118087497,0
S2323,Methyl-Hesperidin,COC1=CC=C(C=C1O)C2CC(=O)C3=C(OC)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O2,0.4281663306335976,0
S2325,Morin Hydrate,O.OC1=CC=C(C(=C1)O)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2,0.42939579635560926,0
S2326,Myricetin,OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC(=C(O)C(=C3)O)O)O)O,0.5294586133902369,0
S2327,Myricitrin,CC1OC(OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(O)C(=C4)O)O)C(O)C(O)C1O,0.4451093536412099,0
S2329,Naringin,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(O)C=C5)O)C(O)C(O)C1O,0.45212860173260316,0
S2331,Neohesperidin Dihydrochalcone (Nhdc),COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2O)C=C1,0.43054746367771807,0
S2332,Neohesperidin,COC1=CC(=CC(=C1)C2CC(=O)C3=C(O)C=C(OC4OC(CO)C(O)C(O)C4OC5OC(C)C(O)C(O)C5O)C=C3O2)O,0.4415371165582928,0
S2333,Nobiletin (NSC 76751),COC1=C(OC)C=C(C=C1)C2=CC(=O)C3=C(OC)C(=C(OC)C(=C3O2)OC)OC,0.21012002149461673,0
S2339,Paeonol,COC1=CC(=C(C=C1)C(C)=O)O,0.2997026298346272,0
S2341,(-)-Parthenolide,CC/1=C\CCC2(C)OC2C3OC(=O)C(=C)C3CC1,0.3612418411524175,0
S2342,Phloretin (RJC 02792),OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1,0.3799689584361757,0
S2343,Phlorizin,OCC1OC(OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(=CC(=C2)O)O)C(O)C(O)C1O,0.44103185941144973,0
S2346,Puerarin,OCC1OC(OC2=C(O)C=CC3=C2OC=C(C3=O)C4=CC=C(O)C=C4)C(O)C(O)C1O,0.3623543075517405,0
S2347,Quercetin Dihydrate,O.O.OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O,0.6627891038266537,1
S2348,Rotenone (Barbasco),COC1=CC2=C(C=C1OC)C3C(CO2)OC4=C(C=CC5=C4CC(O5)C(C)=C)C3=O,0.41424837246395557,0
S2350,Rutin,CC1OC(OCC2OC(OC3=C(OC4=C(C(=CC(=C4)O)O)C3=O)C5=CC(=C(O)C=C5)O)C(O)C(O)C2O)C(O)C(O)C1O,0.5346967979949994,0
S2354,Sclareol,CC1(C)CCCC2(C)C1CCC(C)(O)C2CCC(C)(O)C=C,0.4437388058392582,0
S2357,Silibinin (NSC 651520),COC1=CC(=CC=C1O)C2OC3=CC(=CC=C3OC2CO)C4OC5=CC(=CC(=C5C(=O)C4O)O)O,0.4626170413685285,0
S2358,Silymarin,COC1=CC(=CC=C1O)C2OC3=CC=C(C=C3OC2CO)C4OC5=C(C(=CC(=C5)O)O)C(=O)C4O,0.4626170413685285,0
S2359,Sinomenine,COC1=CC2C3CC4=C(C(=C(OC)C=C4)O)C2(CCN3C)CC1=O,0.427973184015846,0
S2363,Tangeretin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(OC)C(=C(OC)C(=C3O2)OC)OC,0.18797641474181173,0
S2365,Tanshinone IIA,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,0.2721390792984888,0
S2369,Troxerutin,CC1OC(OCC2OC(OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(OCCO)C=C5)OCCO)C(O)C(O)C2O)C(O)C(O)C1O,0.39694030805568703,0
S2371,Vanillylacetone,COC1=CC(=CC=C1O)CCC(C)=O,0.3804855933689602,0
S2377,Biochanin A,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,0.21982970357740186,0
S2380,Diosmetin,COC1=CC=C(C=C1O)C2=CC(=O)C3=C(O)C=C(O)C=C3O2,0.3438355630959587,0
S2382,Evodiamine,CN1C2N(CCC3=C2[NH]C4=CC=CC=C34)C(=O)C5=C1C=CC=C5,0.4424823099416903,0
S2384,Hematoxylin,OC1=CC2=C(C=C1O)C3C4=C(OCC3(O)C2)C(=C(O)C=C4)O,0.5520184950991985,0
S2389,Naringin Dihydrochalcone,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(=C(C(=O)CCC4=CC=C(O)C=C4)C(=C3)O)O)C(O)C(O)C1O,0.4282877968805078,0
S2390,Polydatin,OCC1OC(OC2=CC(=CC(=C2)\C=C\C3=CC=C(O)C=C3)O)C(O)C(O)C1O,0.48230506884859714,0
S2391,Quercetin (NSC 9221),OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O,0.6868680528075554,1
S2392,Sesamin,C1OC2=C(O1)C=C(C=C2)C3OCC4C3COC4C5=CC6=C(OCO6)C=C5,0.4913107276545167,0
S2394,Naringenin,OC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(O)C=C3O2,0.43025692514326414,0
S2396,Salidroside,OCC1OC(OCCC2=CC=C(O)C=C2)C(O)C(O)C1O,0.4275328779070224,0
S2399,Dihydromyricetin,OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(O)C(=C3)O)O,0.4503225882261994,0
S2400,Rheic Acid,OC(=O)C1=CC(=C2C(=O)C3=C(C=CC=C3O)C(=O)C2=C1)O,0.30321263704109097,0
S2401,Sodium Danshensu,[Na+].OC(CC1=CC(=C(O)C=C1)O)C([O-])=O,0.6088795252760394,1
S2404,Isoliquiritigenin,OC1=CC=C(C=C1)\C=C\C(=O)C2=C(O)C=C(O)C=C2,0.4904447728817159,0
S2405,Sophocarpine,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,0.3514325003654036,0
S2411,Geniposide,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1CC=C3CO,0.4074501812341369,0
S2415,Astragaloside A,CC(C)(O)C1CCC(C)(O1)C2C(O)CC3(C)C4CC(OC5OC(CO)C(O)C(O)C5O)C6C(C)(C)C(CCC67CC47CCC23C)OC8OCC(O)C(O)C8O,0.47310940989141687,0
S2425,Apocynin (NSC 2146),COC1=C(O)C=CC(=C1)C(C)=O,0.38631128276954224,0
S2450,Equol,OC1=CC=C(C=C1)C2COC3=CC(=CC=C3C2)O,0.5650708130011054,0
S2487,Mycophenolic acid,COC1=C(C)C2=C(C(=C1C\C=C(/C)CCC(O)=O)O)C(=O)OC2,0.3349173346946702,0
S2526,Alizarin,OC1=C(O)C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,0.394297400105621,0
S2532,L-Ascorbyl 6-palmitate,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(=C1O)O,0.3268202237865108,0
S2554,Daphnetin,OC1=CC=C2C=CC(=O)OC2=C1O,0.3760123548879922,0
S2586,Dimethyl Fumarate,COC(=O)\C=C\C(=O)OC,0.2851825232457542,0
S2605,Idebenone,COC1=C(OC)C(=O)C(=C(C)C1=O)CCCCCCCCCCO,0.3005748093323835,0
S2697,A-769662,OC1=CC=CC=C1C2=CC=C(C=C2)C3=CSC4=C3C(=C(C#N)C(=O)N4)O,0.3042866766181051,0
S2747,AMG-458,COC1=CC2=NC=CC(=C2C=C1)OC3=CN=C(NC(=O)C4=C(C)N(CC(C)(C)O)N(C4=O)C5=CC=CC=C5)C=C3,0.4712635915387376,0
S2910,Tempol,CC1(C)CC(O)CC(C)(C)N1[O],0.4138160107055821,0
S2926,TDZD-8,CN1SC(=O)N(CC2=CC=CC=C2)C1=O,0.4093019131168579,0
S3026,Piceatannol,OC1=CC(=CC(=C1)/C=C/C2=CC=C(O)C(=C2)O)O,0.6605968202389032,1
S3077,Tazobactam,CC1(C[N]2C=CN=N2)C(N3C(CC3=O)[S]1(=O)=O)C(O)=O,0.5531283854082156,0
S3113,Pyridoxine HCl,Cl.CC1=C(O)C(=C(CO)C=N1)CO,0.3797717142404376,0
S3114,Vitamin C,OCC(O)C1OC(=O)C(=C1O)O,0.36873231693021075,0
S3137,Sodium salicylate,[NaH].OC(=O)C1=CC=CC=C1O,0.33857403620287185,0
S3600,Schisandrin B (Sch B),COC1=CC2=C(C(=C1OC)OC)C3=C(CC(C)C(C)C2)C=C4OCOC4=C3OC,0.38632786116258583,0
S3604,Triptolide (PG490),CC(C)C12OC1C3OC34C5(C)CCC6=C(COC6=O)C5CC7OC47C2O,0.41212718293189504,0
S3608,Demethylzeylasteral (T-96),CC12CCC(C)(CC1C3(C)CCC4(C)C5=CC(=C(O)C(=C5C(=O)C=C4C3(C)CC2)C=O)O)C(O)=O,0.46164664132787725,0
S3609,Berbamine dihydrochloride,Cl.Cl.COC1=CC2=C3C=C1OC4=C(OC)C(=CC5=C4C(CC6=CC(=C(O)C=C6)OC7=CC=C(CC3N(C)CC2)C=C7)N(C)CC5)OC,0.5088629181473461,0
S3610,Cordycepin,NC1=NC=NC2=C1N=C[N]2C3OC(CO)CC3O,0.3571684623233391,0
S3612,Rosmarinic acid,OC(=O)C(CC1=CC=C(O)C(=C1)O)OC(=O)\C=C\C2=CC=C(O)C(=C2)O,0.647892201797358,1
S3613,Scoparone,COC1=CC2=C(C=CC(=O)O2)C=C1OC,0.1760519822000932,0
S3616,Asiaticoside,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(=O)OC6OC(COC7OC(CO)C(OC8OC(C)C(O)C(O)C8O)C(O)C7O)C(O)C(O)C6O,0.4767243008691182,0
S3617,(20S)-Protopanaxatriol,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC3C4(C)CCC(O)C(C)(C)C4C(O)CC23C,0.45988563152225503,0
S3622,Diammonium Glycyrrhizinate,N.N.CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O,0.4649621609385974,0
S3624,Quinolinic acid,OC(=O)C1=CC=CN=C1C(O)=O,0.2723457398433577,0
S3626,Sesamol,OC1=CC2=C(OCO2)C=C1,0.3684839483661552,0
S3629,Syringic acid,COC1=CC(=CC(=C1O)OC)C(O)=O,0.365261244849248,0
S3630,Methyl Vanillate,COC(=O)C1=CC(=C(O)C=C1)OC,0.4058214983234342,0
S3633,Pyrrolidinedithiocarbamate ammonium,N.SC(=S)N1CCCC1,0.3315035440974604,0
S3634,6-Hydroxyflavone (6-HF),OC1=CC2=C(OC(=CC2=O)C3=CC=CC=C3)C=C1,0.08170717432255228,0
S3639,Tacrine hydrochloride hydrate,NC1=C2C=CC=CC2=NC3=C1CCCC3,0.3109041322891673,0
S3652,3-Nitropropionic acid,OC(=O)CC[N+]([O-])=O,0.34820982906164344,0
S3665,Trolox,CC1=C(C)C2=C(CCC(C)(O2)C(O)=O)C(=C1O)C,0.37588672273916657,0
S3671,Quinestrol,CC12CCC3C(CCC4=C3C=CC(=C4)OC5CCCC5)C1CCC2(O)C#C,0.48896314760830484,0
S3675,Umbelliferone,OC1=CC2=C(C=C1)C=CC(=O)O2,0.17813441324396814,0
S3679,Flavanone,O=C1CC(OC2=C1C=CC=C2)C3=CC=CC=C3,0.27107184179487137,0
S3681,Vitamin E Acetate,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(=C(C)C(=C2O1)C)OC(C)=O,0.3123160932274836,0
S3758,Sinomenine hydrochloride,Cl.COC1=C(O)C2=C(CC3C4C=C(OC)C(=O)CC24CCN3C)C=C1,0.4524922269086326,0
S3764,Isoferulic Acid,COC1=C(O)C=C(\C=C\C(O)=O)C=C1,0.5620559700247274,0
S3765,Picroside II,COC1=CC(=CC=C1O)C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C5(CO)OC25,0.4666556850528296,0
S3769,Palmatine,COC1=CC2=C(C=C1OC)C3=CC4=C(C=[N+]3CC2)C(=C(OC)C=C4)OC,0.3758233458008715,0
S3773,Tyrosol,OCCC1=CC=C(O)C=C1,0.35066754581443826,0
S3775,Ligustrazine hydrochloride,Cl.CC1=NC(=C(C)N=C1C)C,0.31375349257582547,0
S3776,Sophoricoside,OCC1OC(OC2=CC=C(C=C2)C3=COC4=C(C(=CC(=C4)O)O)C3=O)C(O)C(O)C1O,0.3629241443123752,0
S3777,Gentiopicroside,OCC1OC(OC2OC=C3C(=O)OCC=C3C2C=C)C(O)C(O)C1O,0.42730719305295084,0
S3780,Secoisolariciresinol diglucoside,COC1=C(O)C=CC(=C1)CC(COC2OC(CO)C(O)C(O)C2O)C(COC3OC(CO)C(O)C(O)C3O)CC4=CC(=C(O)C=C4)OC,0.5301314440053216,0
S3782,Neomangiferin,OCC1OC(OC2=CC3=C(OC4=C(C(=C(C5OC(CO)C(O)C(O)C5O)C(=C4)O)O)C3=O)C=C2O)C(O)C(O)C1O,0.39066083310337046,0
S3783,Echinacoside,CC1OC(OC2C(O)C(OCCC3=CC(=C(O)C=C3)O)OC(COC4OC(CO)C(O)C(O)C4O)C2OC(=O)\C=C\C5=CC=C(O)C(=C5)O)C(O)C(O)C1O,0.5903685165612473,0
S3784,Obacunone (AI3-37934),CC1(C)OC(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C5OC45C3(C)C(=O)CC12)C6=COC=C6,0.3587585097961284,0
S3785,Notoginsenoside R1,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C2CCC3(C)C2C(O)CC4C5(C)CCC(O)C(C)(C)C5C(CC34C)OC6OC(CO)C(O)C(O)C6OC7OCC(O)C(O)C7O,0.4954357302971913,0
S3786,Glabridin,CC1(C)OC2=C(C=C1)C3=C(CC(CO3)C4=CC=C(O)C=C4O)C=C2,0.5435860892000379,0
S3788,Carvacrol,CC(C)C1=CC=C(C)C(=C1)O,0.3325332102615704,0
S3790,Methyl gallate,COC(=O)C1=CC(=C(O)C(=C1)O)O,0.44096975105797537,0
S3799,Gentisic acid,OC(=O)C1=C(O)C=CC(=C1)O,0.3984412666560872,0
S3804,Alpha-Mangostin,COC1=C(O)C=C2OC3=C(C(=C(CC=C(C)C)C(=C3)O)O)C(=O)C2=C1CC=C(C)C,0.29080302246988626,0
S3808,Mangiferin,OCC1OC(C(O)C(O)C1O)C2=C(O)C=C3OC4=C(C=C(O)C(=C4)O)C(=O)C3=C2O,0.39877821905303534,0
S3809,Imperatorin,CC(C)=CCOC1=C2OC(=O)C=CC2=CC3=C1OC=C3,0.24030113335029238,0
S3810,Scutellarin,OC1C(O)C(OC(C1O)C(O)=O)OC2=CC3=C(C(=O)C=C(O3)C4=CC=C(O)C=C4)C(=C2O)O,0.34531427854306707,0
