Cat,Name,Smiles
S1052,Elesclomol (STA-4783),CN(NC(=O)CC(=O)NN(C)C(=S)C1=CC=CC=C1)C(=S)C2=CC=CC=C2
S1204,Melatonin (NSC 113928),COC1=CC2=C([NH]C=C2CCNC(C)=O)C=C1
S1282,Artemisinin,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4
S1290,Celastrol (NSC 70931),CC1=C(O)C(=O)C=C2C1=CC=C3C2(C)CCC4(C)C5CC(C)(CCC5(C)CCC34C)C(O)=O
S1319,Costunolide,CC/1=C\CC\C(=C\C2OC(=O)C(=C)C2CC1)C
S1326,Edaravone,CC1=NN(C(=O)C1)C2=CC=CC=C2
S1342,Genistein (NPI 031L),OC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O)O)C2=O
S1344,Glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)[S](=O)(=O)NC(=O)NC3CCC(C)CC3)C1=O
S1354,Lansoprazole,CC1=C(OCC(F)(F)F)C=CN=C1C[S](=O)C2=NC3=CC=CC=C3[NH]2
S1396,Resveratrol (SRT501),OC1=CC=C(C=C1)\C=C\C2=CC(=CC(=C2)O)O
S1398,Stavudine (d4T),CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O
S1445,Zonisamide,N[S](=O)(=O)CC1=NOC2=CC=CC=C12
S1467,Doxercalciferol,CC(C)C(C)/C=C/C(C)C1CCC2C(/CCCC12C)=C/C=C/3CC(O)CC(O)C3=C
S1547,Febuxostat,CC(C)COC1=C(C=C(C=C1)C2=NC(=C(S2)C(O)=O)C)C#N
S1576,Sulfasalazine (NSC 667219),OC(=O)C1=C(O)C=CC(=C1)N=NC2=CC=C(C=C2)[S](=O)(=O)NC3=CC=CC=N3
S1630,Allopurinol,O=C1N=CN=C2NNC=C12
S1631,Allopurinol Sodium,[Na+].O=C1NC=NC2=C1C=N[NH]2
S1677,Chloramphenicol,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O
S1696,Hydrocortisone (NSC 10483),CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C23
S1748,Nisoldipine,COC(=O)C1=C(C)NC(=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OCC(C)C)C
S1773,Oxytetracycline (Terramycin),CN(C)C1C2C(O)C3C(=C(O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(=C1O)C(N)=O
S1802,AICAR (Acadesine),NC(=O)C1=C(N)[N](C=N1)C2OC(CO)C(O)C2O
S1830,Oxfendazole,COC(=O)NC1=NC2=C([NH]1)C=C(C=C2)[S](=O)C3=CC=CC=C3
S1848,Curcumin,COC1=CC(=CC=C1O)/C=C/C(O)=C/C(=O)/C=C/C2=CC(=C(O)C=C2)OC
S1849,Daidzein,OC1=CC=C(C=C1)C2=COC3=CC(=CC=C3C2=O)O
S1897,Potassium Iodide,[K+].[I-]
S1905,Amlodipine,CCOC(=O)C1=C(COCCN)NC(=C(C1C2=C(Cl)C=CC=C2)C(=O)OC)C
S1907,Metronidazole,CC1=NC=C([N]1CCO)[N+]([O-])=O
S1909,Fluvastatin (XU-62-320) Sodium,[Na+].CC(C)[N]1C2=C(C=CC=C2)C(=C1\C=C\C(O)CC(O)CC([O-])=O)C3=CC=C(F)C=C3
S1952,Methoxsalen,COC1=C2OC=CC2=CC3=C1OC(=O)C=C3
S1988,Propylthiouracil,CCCC1=CC(=O)NC(=S)N1
S1990,Capsaicin(Vanilloid),COC1=C(O)C=CC(=C1)CNC(=O)CCCC\C=C\C(C)C
S2011,Pramipexole 2HCl Monohydrate,O.Cl.Cl.CCCNC1CCC2=C(C1)SC(=N2)N
S2062,Tiopronin,CC(S)C(=O)NCC(O)=O
S2077,Atorvastatin Calcium,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CCC(O)CC(O)CC([O-])=O)C3=CC=C(F)C=C3)C4=CC=CC=C4.CC(C)C5=C(C(=O)NC6=CC=CC=C6)C(=C([N]5CCC(O)CC(O)CC([O-])=O)C7=CC=C(F)C=C7)C8=CC=CC=C8
S2131,Roflumilast (B9302-107),FC(F)OC1=CC=C(C=C1OCC2CC2)C(=O)NC3=C(Cl)C=NC=C3Cl
S2250,(-)-Epigallocatechin Gallate,OC1=CC2=C(CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(O2)C4=CC(=C(O)C(=C4)O)O)C(=C1)O
S2252,(+)-Usniacin,CC(=O)C1=C(O)C(=C(O)C2=C1OC3=CC(=O)C(=C(O)C23C)C(C)=O)C
S2261,Andrographolide,CC1(CO)C(O)CCC2(C)C(C\C=C\3C(O)COC3=O)C(=C)CCC12
S2262,Apigenin (LY 080400),OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O
S2266,Asiatic Acid,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(O)=O
S2268,Baicalein,OC1=C(O)C(=C2C(=O)C=C(OC2=C1)C3=CC=CC=C3)O
S2269,Baicalin (NSC-661431),OC1C(O)C(OC(C1O)C(O)=O)OC2=C(O)C(=C3C(=O)C=C(OC3=C2)C4=CC=CC=C4)O
S2270,Bergenin,COC1=C(O)C2=C(C=C1O)C(=O)OC3C(O)C(O)C(CO)OC23
S2277,Caffeic Acid,OC(=O)/C=C/C1=CC=C(O)C(=C1)O
S2280,Chlorogenic Acid,OC1CC(O)(CC(OC(=O)\C=C\C2=CC(=C(O)C=C2)O)C1O)C(O)=O
S2281,Chrysin,OC1=CC2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3
S2289,Daidzin,OCC1OC(OC2=CC3=C(C=C2)C(=O)C(=CO3)C4=CC=C(O)C=C4)C(O)C(O)C1O
S2293,DL-Carnitine HCl,[Cl-].C[N+](C)(C)CC(O)CC(O)=O
S2298,Fisetin,OC1=CC2=C(C=C1)C(=O)C(=C(O2)C3=CC(=C(O)C=C3)O)O
S2299,Formononetin,COC1=CC=C(C=C1)C2=COC3=C(C=CC(=C3)O)C2=O
S2300,Ferulic Acid,COC1=CC(=CC=C1O)\C=C\C(O)=O
S2301,Genistin (Genistoside),OCC1OC(OC2=CC3=C(C(=C2)O)C(=O)C(=CO3)C4=CC=C(O)C=C4)C(O)C(O)C1O
S2302,Glycyrrhizin (NSC 167409),CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O
S2303,Gossypol Acetate,CC(C)C1=C2C=C(C)C(=C(O)C2=C(C=O)C(=C1O)O)C3=C(O)C4=C(C=C3C)C(=C(O)C(=C4C=O)O)C(C)C.CC(O)=O
S2308,Hesperetin,COC1=CC=C(C=C1O)C2CC(=O)C3=C(O)C=C(O)C=C3O2
S2309,Hesperidin,COC1=CC=C(C=C1O)C2CC(=O)C3=C(O)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O2
S2310,Honokiol (NSC 293100),OC1=C(CC=C)C=C(C=C1)C2=CC(=CC=C2O)CC=C
S2312,Icariin,COC1=CC=C(C=C1)C2=C(OC3OC(C)C(O)C(O)C3O)C(=O)C4=C(O2)C(=C(OC5OC(CO)C(O)C(O)C5O)C=C4O)CC=C(C)C
S2313,Indole-3-carbinol,OCC1=C[NH]C2=C1C=CC=C2
S2314,Kaempferol (NSC 407289),OC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2
S2318,Lappaconitine,CCN1CC2(CCC(OC)C34C2CC(C13)C5(O)CC(OC)C6CC4C5(O)C6OC)OC(=O)C7=CC=CC=C7NC(C)=O
S2320,Luteolin,OC1=CC(=C2C(=O)C=C(OC2=C1)C3=CC=C(O)C(=C3)O)O
S2321,Magnolol,OC1=C(C=C(CC=C)C=C1)C2=CC(=CC=C2O)CC=C
S2323,Methyl-Hesperidin,COC1=CC=C(C=C1O)C2CC(=O)C3=C(OC)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O2
S2325,Morin Hydrate,O.OC1=CC=C(C(=C1)O)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2
S2326,Myricetin,OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC(=C(O)C(=C3)O)O)O)O
S2327,Myricitrin,CC1OC(OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(O)C(=C4)O)O)C(O)C(O)C1O
S2329,Naringin,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(O)C=C5)O)C(O)C(O)C1O
S2331,Neohesperidin Dihydrochalcone (Nhdc),COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2O)C=C1
S2332,Neohesperidin,COC1=CC(=CC(=C1)C2CC(=O)C3=C(O)C=C(OC4OC(CO)C(O)C(O)C4OC5OC(C)C(O)C(O)C5O)C=C3O2)O
S2333,Nobiletin (NSC 76751),COC1=C(OC)C=C(C=C1)C2=CC(=O)C3=C(OC)C(=C(OC)C(=C3O2)OC)OC
S2339,Paeonol,COC1=CC(=C(C=C1)C(C)=O)O
S2341,(-)-Parthenolide,CC/1=C\CCC2(C)OC2C3OC(=O)C(=C)C3CC1
S2342,Phloretin (RJC 02792),OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1
S2343,Phlorizin,OCC1OC(OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(=CC(=C2)O)O)C(O)C(O)C1O
S2346,Puerarin,OCC1OC(OC2=C(O)C=CC3=C2OC=C(C3=O)C4=CC=C(O)C=C4)C(O)C(O)C1O
S2347,Quercetin Dihydrate,O.O.OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O
S2348,Rotenone (Barbasco),COC1=CC2=C(C=C1OC)C3C(CO2)OC4=C(C=CC5=C4CC(O5)C(C)=C)C3=O
S2350,Rutin,CC1OC(OCC2OC(OC3=C(OC4=C(C(=CC(=C4)O)O)C3=O)C5=CC(=C(O)C=C5)O)C(O)C(O)C2O)C(O)C(O)C1O
S2354,Sclareol,CC1(C)CCCC2(C)C1CCC(C)(O)C2CCC(C)(O)C=C
S2357,Silibinin (NSC 651520),COC1=CC(=CC=C1O)C2OC3=CC(=CC=C3OC2CO)C4OC5=CC(=CC(=C5C(=O)C4O)O)O
S2358,Silymarin,COC1=CC(=CC=C1O)C2OC3=CC=C(C=C3OC2CO)C4OC5=C(C(=CC(=C5)O)O)C(=O)C4O
S2359,Sinomenine,COC1=CC2C3CC4=C(C(=C(OC)C=C4)O)C2(CCN3C)CC1=O
S2363,Tangeretin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(OC)C(=C(OC)C(=C3O2)OC)OC
S2365,Tanshinone IIA,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
S2369,Troxerutin,CC1OC(OCC2OC(OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(OCCO)C=C5)OCCO)C(O)C(O)C2O)C(O)C(O)C1O
S2371,Vanillylacetone,COC1=CC(=CC=C1O)CCC(C)=O
S2377,Biochanin A,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
S2380,Diosmetin,COC1=CC=C(C=C1O)C2=CC(=O)C3=C(O)C=C(O)C=C3O2
S2382,Evodiamine,CN1C2N(CCC3=C2[NH]C4=CC=CC=C34)C(=O)C5=C1C=CC=C5
S2384,Hematoxylin,OC1=CC2=C(C=C1O)C3C4=C(OCC3(O)C2)C(=C(O)C=C4)O
S2389,Naringin Dihydrochalcone,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(=C(C(=O)CCC4=CC=C(O)C=C4)C(=C3)O)O)C(O)C(O)C1O
S2390,Polydatin,OCC1OC(OC2=CC(=CC(=C2)\C=C\C3=CC=C(O)C=C3)O)C(O)C(O)C1O
S2391,Quercetin (NSC 9221),OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O
S2392,Sesamin,C1OC2=C(O1)C=C(C=C2)C3OCC4C3COC4C5=CC6=C(OCO6)C=C5
S2394,Naringenin,OC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(O)C=C3O2
S2396,Salidroside,OCC1OC(OCCC2=CC=C(O)C=C2)C(O)C(O)C1O
S2399,Dihydromyricetin,OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(O)C(=C3)O)O
S2400,Rheic Acid,OC(=O)C1=CC(=C2C(=O)C3=C(C=CC=C3O)C(=O)C2=C1)O
S2401,Sodium Danshensu,[Na+].OC(CC1=CC(=C(O)C=C1)O)C([O-])=O
S2404,Isoliquiritigenin,OC1=CC=C(C=C1)\C=C\C(=O)C2=C(O)C=C(O)C=C2
S2405,Sophocarpine,O=C1C=CCC2C3CCCN4CCCC(CN12)C34
S2411,Geniposide,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1CC=C3CO
S2415,Astragaloside A,CC(C)(O)C1CCC(C)(O1)C2C(O)CC3(C)C4CC(OC5OC(CO)C(O)C(O)C5O)C6C(C)(C)C(CCC67CC47CCC23C)OC8OCC(O)C(O)C8O
S2425,Apocynin (NSC 2146),COC1=C(O)C=CC(=C1)C(C)=O
S2450,Equol,OC1=CC=C(C=C1)C2COC3=CC(=CC=C3C2)O
S2487,Mycophenolic acid,COC1=C(C)C2=C(C(=C1C\C=C(/C)CCC(O)=O)O)C(=O)OC2
S2526,Alizarin,OC1=C(O)C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O
S2532,L-Ascorbyl 6-palmitate,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(=C1O)O
S2554,Daphnetin,OC1=CC=C2C=CC(=O)OC2=C1O
S2586,Dimethyl Fumarate,COC(=O)\C=C\C(=O)OC
S2605,Idebenone,COC1=C(OC)C(=O)C(=C(C)C1=O)CCCCCCCCCCO
S2697,A-769662,OC1=CC=CC=C1C2=CC=C(C=C2)C3=CSC4=C3C(=C(C#N)C(=O)N4)O
S2747,AMG-458,COC1=CC2=NC=CC(=C2C=C1)OC3=CN=C(NC(=O)C4=C(C)N(CC(C)(C)O)N(C4=O)C5=CC=CC=C5)C=C3
S2910,Tempol,CC1(C)CC(O)CC(C)(C)N1[O]
S2926,TDZD-8,CN1SC(=O)N(CC2=CC=CC=C2)C1=O
S3026,Piceatannol,OC1=CC(=CC(=C1)/C=C/C2=CC=C(O)C(=C2)O)O
S3077,Tazobactam,CC1(C[N]2C=CN=N2)C(N3C(CC3=O)[S]1(=O)=O)C(O)=O
S3113,Pyridoxine HCl,Cl.CC1=C(O)C(=C(CO)C=N1)CO
S3114,Vitamin C,OCC(O)C1OC(=O)C(=C1O)O
S3137,Sodium salicylate,[NaH].OC(=O)C1=CC=CC=C1O
S3600,Schisandrin B (Sch B),COC1=CC2=C(C(=C1OC)OC)C3=C(CC(C)C(C)C2)C=C4OCOC4=C3OC
S3604,Triptolide (PG490),CC(C)C12OC1C3OC34C5(C)CCC6=C(COC6=O)C5CC7OC47C2O
S3608,Demethylzeylasteral (T-96),CC12CCC(C)(CC1C3(C)CCC4(C)C5=CC(=C(O)C(=C5C(=O)C=C4C3(C)CC2)C=O)O)C(O)=O
S3609,Berbamine dihydrochloride,Cl.Cl.COC1=CC2=C3C=C1OC4=C(OC)C(=CC5=C4C(CC6=CC(=C(O)C=C6)OC7=CC=C(CC3N(C)CC2)C=C7)N(C)CC5)OC
S3610,Cordycepin,NC1=NC=NC2=C1N=C[N]2C3OC(CO)CC3O
S3612,Rosmarinic acid,OC(=O)C(CC1=CC=C(O)C(=C1)O)OC(=O)\C=C\C2=CC=C(O)C(=C2)O
S3613,Scoparone,COC1=CC2=C(C=CC(=O)O2)C=C1OC
S3616,Asiaticoside,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(=O)OC6OC(COC7OC(CO)C(OC8OC(C)C(O)C(O)C8O)C(O)C7O)C(O)C(O)C6O
S3617,(20S)-Protopanaxatriol,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC3C4(C)CCC(O)C(C)(C)C4C(O)CC23C
S3622,Diammonium Glycyrrhizinate,N.N.CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O
S3624,Quinolinic acid,OC(=O)C1=CC=CN=C1C(O)=O
S3626,Sesamol,OC1=CC2=C(OCO2)C=C1
S3629,Syringic acid,COC1=CC(=CC(=C1O)OC)C(O)=O
S3630,Methyl Vanillate,COC(=O)C1=CC(=C(O)C=C1)OC
S3633,Pyrrolidinedithiocarbamate ammonium,N.SC(=S)N1CCCC1
S3634,6-Hydroxyflavone (6-HF),OC1=CC2=C(OC(=CC2=O)C3=CC=CC=C3)C=C1
S3639,Tacrine hydrochloride hydrate,NC1=C2C=CC=CC2=NC3=C1CCCC3
S3652,3-Nitropropionic acid,OC(=O)CC[N+]([O-])=O
S3665,Trolox,CC1=C(C)C2=C(CCC(C)(O2)C(O)=O)C(=C1O)C
S3671,Quinestrol,CC12CCC3C(CCC4=C3C=CC(=C4)OC5CCCC5)C1CCC2(O)C#C
S3675,Umbelliferone,OC1=CC2=C(C=C1)C=CC(=O)O2
S3679,Flavanone,O=C1CC(OC2=C1C=CC=C2)C3=CC=CC=C3
S3681,Vitamin E Acetate,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(=C(C)C(=C2O1)C)OC(C)=O
S3758,Sinomenine hydrochloride,Cl.COC1=C(O)C2=C(CC3C4C=C(OC)C(=O)CC24CCN3C)C=C1
S3764,Isoferulic Acid,COC1=C(O)C=C(\C=C\C(O)=O)C=C1
S3765,Picroside II,COC1=CC(=CC=C1O)C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C5(CO)OC25
S3769,Palmatine,COC1=CC2=C(C=C1OC)C3=CC4=C(C=[N+]3CC2)C(=C(OC)C=C4)OC
S3773,Tyrosol,OCCC1=CC=C(O)C=C1
S3775,Ligustrazine hydrochloride,Cl.CC1=NC(=C(C)N=C1C)C
S3776,Sophoricoside,OCC1OC(OC2=CC=C(C=C2)C3=COC4=C(C(=CC(=C4)O)O)C3=O)C(O)C(O)C1O
S3777,Gentiopicroside,OCC1OC(OC2OC=C3C(=O)OCC=C3C2C=C)C(O)C(O)C1O
S3780,Secoisolariciresinol diglucoside,COC1=C(O)C=CC(=C1)CC(COC2OC(CO)C(O)C(O)C2O)C(COC3OC(CO)C(O)C(O)C3O)CC4=CC(=C(O)C=C4)OC
S3782,Neomangiferin,OCC1OC(OC2=CC3=C(OC4=C(C(=C(C5OC(CO)C(O)C(O)C5O)C(=C4)O)O)C3=O)C=C2O)C(O)C(O)C1O
S3783,Echinacoside,CC1OC(OC2C(O)C(OCCC3=CC(=C(O)C=C3)O)OC(COC4OC(CO)C(O)C(O)C4O)C2OC(=O)\C=C\C5=CC=C(O)C(=C5)O)C(O)C(O)C1O
S3784,Obacunone (AI3-37934),CC1(C)OC(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C5OC45C3(C)C(=O)CC12)C6=COC=C6
S3785,Notoginsenoside R1,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C2CCC3(C)C2C(O)CC4C5(C)CCC(O)C(C)(C)C5C(CC34C)OC6OC(CO)C(O)C(O)C6OC7OCC(O)C(O)C7O
S3786,Glabridin,CC1(C)OC2=C(C=C1)C3=C(CC(CO3)C4=CC=C(O)C=C4O)C=C2
S3788,Carvacrol,CC(C)C1=CC=C(C)C(=C1)O
S3790,Methyl gallate,COC(=O)C1=CC(=C(O)C(=C1)O)O
S3799,Gentisic acid,OC(=O)C1=C(O)C=CC(=C1)O
S3804,Alpha-Mangostin,COC1=C(O)C=C2OC3=C(C(=C(CC=C(C)C)C(=C3)O)O)C(=O)C2=C1CC=C(C)C
S3808,Mangiferin,OCC1OC(C(O)C(O)C1O)C2=C(O)C=C3OC4=C(C=C(O)C(=C4)O)C(=O)C3=C2O
S3809,Imperatorin,CC(C)=CCOC1=C2OC(=O)C=CC2=CC3=C1OC=C3
S3810,Scutellarin,OC1C(O)C(OC(C1O)C(O)=O)OC2=CC3=C(C(=O)C=C(O3)C4=CC=C(O)C=C4)C(=C2O)O
S3811,Ginsenoside Re,CC1OC(OC2C(O)C(O)C(CO)OC2OC3CC4(C)C(CC(O)C5C(CCC45C)C(C)(CCC=C(C)C)OC6OC(CO)C(O)C(O)C6O)C7(C)CCC(O)C(C)(C)C37)C(O)C(O)C1O
S3813,Bakuchiol,CC(C)=CCCC(C)(C=C)\C=C\C1=CC=C(O)C=C1
